TYPE,NAME,DESC,SAMPLE_ID,VISIBLE_ID,LATITUDE,LONGITUDE,TOWN,LGA,STATE,COUNTRY
T,NULL,NULL,,,9.155494628074166,7.438269334744847,NULL,Municipal Area Council,Federal Capital Territory,Nigeria
T,NULL,NULL,637211548,71,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,8.302544266100995,4.885348167527536,NULL,Isin,Kwara,Nigeria
T,NULL,NULL,637211539,62,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.987141195142158,10.950864194286028,NULL,Sardauna,Taraba,Nigeria
T,NULL,NULL,637211566,89,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,7.3647031091303745,4.659243231668764,NULL,Ife South,Osun,Nigeria
T,NULL,NULL,637211625,148,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,5.720247150181578,6.353018188189484,NULL,Ndokwa West,Delta,Nigeria
T,NULL,NULL,637211959,482,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.711717729150763,3.92109819951816,Ìjẹ̀bú Òde,Odogbolu,Ogun,Nigeria
T,NULL,NULL,637211549,72,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,7.19087910213581,10.422385112116915,NULL,Kurmi,Taraba,Nigeria
T,NULL,NULL,637211564,87,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,5.432426933190499,7.590268050547928,NULL,Ikwuano,Abia,Nigeria
T,NULL,NULL,637211761,284,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,8.222773869103534,5.700569379296693,NULL,Yagba East,Kogi,Nigeria
T,NULL,NULL,637211604,127,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,8.369378923098921,5.64882624993364,NULL,Yagba West,Kogi,Nigeria
